application_id,submission_date,itr_assessment_year,state,lender_type,loan_type,employment_type,application_channel,document_bundle_size,cibil_score,loan_amount_inr,land_record_document_type,land_record_state,land_record_survey_no,land_record_owner_name,sale_deed_consideration_value,ec_registered_value,ec_liens_count,mutation_date_manipulated,borrower_name,declared_income_annual_inr,borrower_pan,borrower_aadhaar_no,identity_document_type,itr_declared_income,itr_acknowledgement_no,itr_filing_date,form_16_gross_salary,form_16_employer_tan,salary_slip_gross_monthly_inr,salary_slip_employer_name,salary_slip_employer_tan,bank_statement_annual_credits_inr,bank_statement_unusual_credits_count,bank_statement_round_number_flag,gst_annual_turnover,gst_registration_number,gst_cross_month_inconsistency,balance_sheet_total_assets,balance_sheet_total_liabilities,pnl_net_profit_inr,balance_sheet_auditor_urn,nach_mandate_beneficiary_name,nach_mandate_amount_inr,nach_mandate_alteration_detected,guarantor_name,guarantor_overcommitment_detected,pdf_structural_anomaly_score,pixel_manipulation_detected,cloned_region_detected,frequency_domain_anomaly_score,font_inconsistency_score,physical_scan_coherence_score,metadata_timestamp_contradiction,unicode_substitution_detected,ai_generated_document_probability,compression_anomaly_detected,documents_flagged_count,pdf_metadata_modification_delay_days,income_cross_doc_variance_pct,itr_vs_bank_stmt_discrepancy_pct,form16_vs_salary_slip_discrepancy_pct,property_valuation_discrepancy_pct,encumbrance_suppression_flag,double_pledge_risk_score,employment_tan_mismatch,field_investigation_status,field_investigation_gps_mismatch,overall_fraud_risk_score,fraud_risk_category,manual_review_triggered,adverse_action_triggered,final_decision,processing_time_ms,ground_truth_fraud_label,fraud_sub_type,document_primary_language,adverse_action_reason,rbi_fpc_compliant,audit_log_hash
SRS-2026-000003,25-09-2025,FY2023-24,Madhya Pradesh,Small_Finance_Bank,Housing_Finance,Salaried_MNC,DSA,9,589,19581603,Khasra,Madhya Pradesh,553/3C,Priya Verma,28432629,27759768,0,False,Priya Verma,4816862,WFCPV6312D,XXXX-XXXX-3295,PAN_Card,4650676,724639703151435,03-04-2025,4866321,ULFR31844J,408299,Bharti Airtel,ULFR31844J,4458228,0,False,,,,,,,,ICICI Finance,125000,False,Swati Deshmukh,False,0.0125,False,False,0.4076,0.2847,0.6969,False,False,0.0475,False,0,2,10.2754,4.4461,7.3271,7.4779,False,0.2359,False,Passed,False,0,Clean,False,False,Approved,1473,0,Clean,Hindi,,False,8bec0c6293e7
SRS-2025-000004,18-04-2026,FY2024-25,Bihar,Private_Bank,Housing_Finance,Salaried_Private_Sector,DSA,5,732,27732719,Record of Rights,Bihar,342/6C,Kavitha Choudhury,33442919,33210785,0,False,Kavitha Choudhury,6209633,BFSPC0969C,XXXX-XXXX-4637,Passport,6392351,065780251231659,17-11-2025,6271529,KCQJ46811M,523019,ICICI Bank,KCQJ46811M,6260155,2,False,,,,,,,,SBI Finance,125000,False,,,0.3827,False,False,0.3843,0.2294,0.9008,False,False,0.4102,False,0,1,14.8038,7.045,4.1906,8.5833,False,0.5865,False,Passed,False,2,Clean,False,False,Approved,1460,0,Clean,Hindi,,False,ebe03d912b88
SRS-2023-000002,11-09-2023,FY2021-22,Uttar Pradesh,PSB,MSME,Proprietor,DSA,13,701,22046824,,,,,,,,,Reyansh Verma,8190943,LEGPV8223S,XXXX-XXXX-3977,PAN_Card,8457726,659537500738488,05-07-2023,,,,,,8677836,2,False,23696232,09LEGPV8223S6ZD,False,21484000,21484000,6278000,266661575361699750,SBI Finance,125000,False,Ritu Joshi,False,0.3554,False,False,0.2499,0.3136,0.8016,False,False,0.2979,False,0,2,6.2407,3.9832,,,False,0.1729,False,Passed,False,2,Clean,False,False,Approved,1473,0,Clean,Hindi,,False,edebbc773d27
SRS-2023-000003,12-05-2023,FY2021-22,Kerala,Private_Bank,MSME,Private_Ltd_Director,Branch,10,680,14800948,,,,,,,,,Vijay Reddy,6316397,AHZPR6941B,XXXX-XXXX-9261,PAN_Card,6467726,261823834372575,24-11-2022,,,,,,6664946,0,False,16060113,32AHZPR6941B0ZY,False,21312000,21312000,6413000,261455942026249066,ICICI Finance,125000,False,Priya Pillai,False,0.3385,False,False,0.4648,0.6175,0.8186,False,False,0.2636,False,0,0,3.3911,18.3336,,,False,0.2463,False,Not_Applicable,,8,Clean,False,False,Approved,481,0,Clean,Malayalam,,False,235ca8ed8af2
SRS-2023-000004,20-12-2024,FY2023-24,Haryana,NBFC,MSME,Self_Employed_Professional,DSA,8,796,7455699,Fard,Haryana,636/10B,Vijay Menon,9538028,9645199,0,False,Vijay Menon,1570912,XVAPM5218V,XXXX-XXXX-1756,Passport,1557925,543641656216894,03-11-2024,,,,,,1629814,2,False,4517421,06XVAPM5218V5ZE,False,5191000,5191000,1774000,262241381810399378,ICICI Finance,106962,False,Krishna Mishra,False,0.2246,False,False,0.0788,0.1398,0.9042,False,False,0.124,False,0,2,6.1037,10.0897,,1.7399,False,0.1697,False,Not_Applicable,,2,Clean,False,False,Approved,735,0,Clean,Hindi,,False,e65fff756ee8
SRS-2023-000005,09-04-2023,FY2021-22,Rajasthan,Small_Finance_Bank,Housing_Finance,Salaried_MNC,Branch,7,674,38024854,,,,,,,,,Neha Yadav,8800000,LUPPY8739S,XXXX-XXXX-5587,Aadhaar,8800000,095375560233844,25-10-2022,8947499,RXMQ05158R,702117,Cognizant Technologies,RXMQ05158R,8427149,0,False,,,,,,,,HDFC Finance,125000,False,,,0.5488,False,False,0.1464,0.2824,0.8683,False,False,0.303,False,0,0,9.5704,2.6874,7.1526,,False,0.2833,False,Passed,False,8,Clean,False,False,Approved,1186,0,Clean,Hindi,,False,712d55f602f3
SRS-2026-000004,07-06-2025,FY2023-24,Haryana,PSB,MSME,Self_Employed_Professional,Branch,12,762,10331358,,,,,,,,,Vihaan Nair,5106943,ISYPN2189A,XXXX-XXXX-6248,Aadhaar,5302387,254406256580160,20-05-2025,,,,,,5311625,2,False,9946600,06ISYPN2189A1ZD,False,10693000,10693000,5860000,262691726665714590,,,,Ananya Gupta,False,0.5177,False,False,0.1243,0.345,0.6597,False,False,0.3685,False,0,1,5.503,4.1155,,,False,0.1014,False,Not_Applicable,,10,Clean,False,False,Approved,1483,0,Clean,Hindi,,False,534ea37b6b22
SRS-2022-000004,17-09-2024,FY2023-24,Rajasthan,Private_Bank,Housing_Finance,Proprietor,Branch,9,705,27853096,Jamabandi,Rajasthan,162/5,Suresh Kulkarni,37000000,36538390,0,False,Suresh Kulkarni,7118982,GHFPK1477G,XXXX-XXXX-7943,PAN_Card,6771075,227353063760133,19-03-2024,,,,,,7083287,1,False,19191932,08GHFPK1477G2Z4,False,15800000,15800000,6650000,266630518489055650,ICICI Finance,125000,False,,,0.1905,False,False,0.406,0.2147,0.6565,False,False,0.3315,False,0,1,11.8456,11.1623,,2.6366,False,0.0591,False,Passed,False,1,Clean,False,False,Approved,1161,0,Clean,Hindi,,False,851327af641b
SRS-2025-000005,12-09-2023,FY2021-22,Punjab,NBFC,Housing_Finance,Private_Ltd_Director,Digital_Portal,5,692,15444371,Fard,Punjab,65/2C,Ritu Patil,21523005,21963532,1,False,Ritu Patil,3219581,IIUPP0959G,XXXX-XXXX-7475,Aadhaar,3279804,504056353831234,03-08-2023,,,,,,3043911,0,False,6150865,03IIUPP0959G0Z9,False,10263000,10263000,2680000,264673355298513850,PolyOculus Finance,125000,False,,,0.3927,False,False,0.453,0.3339,0.7734,False,False,0.1895,False,0,1,9.9774,13.2139,,0.7214,False,0.4924,False,Passed,False,0,Clean,False,False,Approved,669,0,Clean,Hindi,,False,8636e9861238
SRS-2022-000005,01-12-2025,FY2024-25,Madhya Pradesh,NBFC,Agricultural,Agricultural_Labourer,Digital_Portal,7,898,1025586,Khasra,Madhya Pradesh,420/10C,Vikram Dutta,2000000,1948738,0,False,Vikram Dutta,485530,LAMPD3417T,XXXX-XXXX-5547,Aadhaar,,,,,,,,,435530,1,False,,,,,,,,,,,,,0.3277,False,False,0.1253,0.2263,0.8821,False,False,0.2153,False,0,2,7.2625,5.682,,8.0451,False,0.0887,False,Passed,False,1,Clean,False,False,Approved,1396,0,Clean,Hindi,,False,e0bef4ae39ee
SRS-2022-000006,27-04-2025,FY2024-25,Andhra Pradesh,HFC,MSME,Self_Employed_Professional,Mobile_App,5,763,19628868,,,,,,,,,Sai Reddy,6009344,FDPPR7876O,XXXX-XXXX-5351,PAN_Card,6051575,939493009412350,19-10-2024,,,,,,6095922,1,False,10002838,37FDPPR7876O4ZB,False,14633000,14633000,6194000,265134206744211583,ICICI Finance,125000,False,,,0.1256,False,False,0.0611,0.4753,0.8198,False,False,0.2168,False,0,2,2.2083,9.9659,,,False,0.1814,False,Passed,False,9,Clean,False,False,Approved,1271,0,Clean,Telugu,,False,fbbf1c96c827
SRS-2026-000005,04-01-2023,FY2022-23,Odisha,Private_Bank,Housing_Finance,Salaried_Private_Sector,Branch,9,817,18425420,,,,,,,,,Kiran Joshi,5189018,JZOPJ7146E,XXXX-XXXX-7587,Aadhaar,5201137,626666556950495,02-10-2022,5172624,YUHA97750P,436441,Infosys Limited,YUHA97750P,5383693,1,False,,,,,,,,PolyOculus Finance,125000,False,Geeta Gupta,False,0.2462,False,False,0.1775,0.2629,0.9247,False,False,0.0471,False,0,0,3.1714,9.145,2.3455,,False,0.1944,False,Passed,False,1,Clean,False,False,Approved,935,0,Clean,English,,False,49f1a0ff5f42
SRS-2023-000006,20-09-2024,FY2022-23,Karnataka,Private_Bank,Housing_Finance,Salaried_Private_Sector,Business_Correspondent,7,602,43285822,Khata,Karnataka,KA-KH-9605,Sai Naidu,37000000,36799986,0,False,Sai Naidu,8800000,LQFPN7367D,XXXX-XXXX-0444,Voter_ID,8565621,632542733590538,07-04-2024,8947150,WIGC63777S,777864,Godrej Industries,WIGC63777S,9175340,0,False,,,,,,,,PolyOculus Finance,125000,False,,,0.425,True,True,0.5684,0.8495,0.5075,False,False,0.4714,False,2,20,14.1182,11.4054,8.301,10.3888,True,0.8794,False,Failed,False,61,Medium_Risk,True,False,Manual_Review,7336,1,Encumbrance_Suppression,Kannada,,False,a43652fbbd9f
SRS-2022-000007,04-10-2024,FY2022-23,Chhattisgarh,PSB,Housing_Finance,Salaried_Private_Sector,Digital_Portal,6,686,7751781,Khasra,Chhattisgarh,204/3,Arjun Joshi,11782114,12041013,0,False,Arjun Joshi,1608342,SUAPJ4600M,XXXX-XXXX-2795,Aadhaar,1606842,487750984593646,12-04-2024,1582008,NYCL76103G,127591,HCL Technologies,NYCL76103G,1761376,2,False,,,,,,,,ICICI Finance,125000,False,,,0.3305,False,False,0.1224,0.3774,0.7541,False,False,0.2442,False,0,2,5.8878,20.7013,1.1612,0.5118,False,0.3755,False,Passed,False,2,Clean,False,False,Approved,2468,0,Clean,Hindi,,False,4a0827bdc608
SRS-2023-000007,01-09-2025,FY2024-25,Jharkhand,PSB,Retail_Salaried,Salaried_Govt,Business_Correspondent,5,543,2988011,,,,,,,,,Aditya Yadav,983198,SDEPY0374F,XXXX-XXXX-8081,PAN_Card,940243,238741653920102,08-05-2025,970143,JEGP17631P,75421,Tata Consultancy Services,JEGP17631P,907549,0,False,,,,,,,,ICICI Finance,48131,False,,,0.4701,False,False,0.4543,0.2252,0.8666,False,False,0.241,False,0,1,13.9389,9.444,1.1702,,False,0.0911,False,Not_Applicable,,0,Clean,False,False,Approved,580,0,Clean,Hindi,,False,9966c9f1a478
SRS-2024-000002,14-12-2023,FY2022-23,Uttar Pradesh,PSB,Agricultural,Tenant_Farmer,Mobile_App,9,700,1452324,Record of Rights (Khatauni),Uttar Pradesh,957/9A,Anil Choudhury,2243270,2137626,0,False,Anil Choudhury,522388,BCDPC8941B,XXXX-XXXX-0322,PAN_Card,,,,,,,,,516513,0,False,,,,,,,,,,,,,0.1248,False,False,0.2365,0.3335,0.8488,False,False,0.2121,False,0,2,12.7968,4.3458,,1.0201,False,0.1082,False,Passed,False,0,Clean,False,False,Approved,1244,0,Clean,Hindi,,False,a7963c332bd4
SRS-2023-000008,09-02-2024,FY2022-23,Uttarakhand,Private_Bank,Agricultural,Tenant_Farmer,Branch,12,687,632961,Khatauni,Uttarakhand,576/4,Amit Pillai,2000000,2004353,1,False,Amit Pillai,244468,ZFDPP6018O,XXXX-XXXX-4722,Aadhaar,,,,,,,,,271032,0,False,,,,,,,,,,,,,0.2175,False,False,0.3416,0.3414,0.5552,False,False,0.2145,False,0,2,3.8445,6.8667,,2.1274,False,0.4978,False,Passed,False,0,Clean,False,False,Approved,410,0,Clean,Hindi,,False,1e22c4e0a126
SRS-2025-000006,01-04-2022,FY2021-22,Chhattisgarh,NBFC,Agricultural,Agricultural_Cultivator,Digital_Portal,8,850,559363,Khasra,Chhattisgarh,905/12C,Sunita Yadav,2000000,2074310,0,False,Sunita Yadav,258089,CTSPY4232C,XXXX-XXXX-0614,PAN_Card,,,,,,,,,287599,1,False,,,,,,,,,,,,,0.4306,False,False,0.018,0.4214,0.7846,False,False,0.2953,False,0,1,4.311,11.9985,,8.1091,False,0.272,False,Passed,False,1,Clean,False,False,Approved,824,0,Clean,Hindi,,False,5cd68522ffdd
SRS-2022-000008,24-06-2025,FY2024-25,Karnataka,Private_Bank,Retail_Salaried,Salaried_PSU,Digital_Portal,5,665,1155118,,,,,,,,,Kavitha Kulkarni,343525,QSOPK7135U,XXXX-XXXX-4959,Aadhaar,334093,326203451765267,19-12-2024,347768,YBXL08291I,27181,HDFC Bank Ltd,YBXL08291I,343222,0,True,,,,,,,,PolyOculus Finance,17659,False,,,0.3525,False,False,0.1772,0.292,0.8056,False,False,0.2792,False,0,1,1.9042,14.796,2.9311,,False,0.5234,False,Not_Applicable,,3,Clean,False,False,Approved,1243,0,Clean,Kannada,,False,0ad11879a325
SRS-2026-000006,04-12-2023,FY2022-23,Jharkhand,HFC,Housing_Finance,Salaried_Private_Sector,Branch,11,631,27470901,Khatiyan,Jharkhand,421/10A,Kaushik Verma,37000000,35492180,0,False,Kaushik Verma,8800000,DHYPV6151F,XXXX-XXXX-8661,Aadhaar,8638630,121503335139441,30-07-2023,8950589,EZON62897S,765798,Accenture India,EZON62897S,8459301,0,False,,,,,,,,SBI Finance,125000,False,Shalini Singh,False,0.3985,False,False,0.3945,0.2338,0.9492,False,False,0.1741,False,0,0,6.911,7.0174,6.7599,0.8044,False,0.2233,False,Passed,False,0,Clean,False,False,Approved,1050,0,Clean,Hindi,,False,3cacb2552f15
SRS-2026-000007,24-05-2025,FY2023-24,Punjab,Private_Bank,Retail_Salaried,Salaried_MNC,Digital_Portal,8,586,2338729,,,,,,,,,Pooja Deshmukh,1035716,CSLPD9828N,XXXX-XXXX-7485,Aadhaar,1086298,539530621459182,09-01-2025,1016751,VVHO40029U,84356,Aditya Birla Group,VVHO40029U,1015123,1,False,,,,,,,,HDFC Finance,31626,False,,,0.3321,False,False,0.707,0.4064,0.7757,False,False,0.2288,False,0,1,3.9397,10.7243,11.9731,,False,0.3975,False,Not_Applicable,,9,Clean,False,False,Approved,435,0,Clean,Hindi,,False,d588d47f5a7a
SRS-2024-000003,30-11-2022,FY2021-22,Odisha,HFC,Housing_Finance,Salaried_Private_Sector,Branch,8,793,19228772,Record of Rights,Odisha,324/3A,Meena Gupta,30088891,28820960,0,False,Meena Gupta,6294427,NTEPG0758V,XXXX-XXXX-7263,Aadhaar,6070167,127491258756987,25-05-2022,6358959,CLBV94338T,531873,Godrej Industries,CLBV94338T,5799242,1,False,,,,,,,,PolyOculus Finance,125000,False,Krishna Kumar,False,0.4772,False,False,0.136,0.51,0.899,False,False,0.0742,False,0,0,10.575,7.9663,1.4688,1.1042,False,0.1175,False,Passed,False,9,Clean,False,False,Approved,421,0,Clean,English,,False,3cb448aedc55
SRS-2022-000009,22-05-2026,FY2024-25,Himachal Pradesh,PSB,Agricultural,Tenant_Farmer,Branch,8,670,1210535,Jamabandi,Himachal Pradesh,864/6C,Sanjay Patil,2000000,2002850,0,False,Sanjay Patil,501150,OCPPP0212Y,XXXX-XXXX-5902,Aadhaar,,,,,,,,,485088,2,False,,,,,,,,,,,Reyansh Mishra,False,0.4633,False,False,0.2734,0.3428,0.8304,False,False,0.2332,False,0,1,4.2303,11.3944,,0.7561,False,0.2151,False,Passed,False,2,Clean,False,False,Approved,1335,0,Clean,Hindi,,False,32564c41508f
SRS-2026-000008,16-02-2026,FY2024-25,Delhi NCT,PSB,MSME,Proprietor,Mobile_App,8,777,16818355,,,,,,,,,Meena Gupta,3142186,DKSPG9781L,XXXX-XXXX-9359,Aadhaar,3212948,275276446442712,02-10-2025,,,,,,2939192,0,False,4853374,07DKSPG9781L0ZE,False,9882000,9882000,2390000,262877953616007772,SBI Finance,125000,False,,,0.3521,False,False,0.0648,0.5028,0.98,False,False,0.3801,False,0,0,5.8967,14.2827,,,False,0.1927,False,Passed,False,8,Clean,False,False,Approved,2948,0,Clean,Hindi,,False,8166fbd3683c
SRS-2026-000009,12-09-2025,FY2024-25,Gujarat,Private_Bank,Retail_Salaried,Salaried_Private_Sector,DSA,9,518,3882407,,,,,,,,,Vijay Joshi,1080747,MOEPJ0253V,XXXX-XXXX-3930,Aadhaar,1064414,708303336265903,08-06-2025,1066471,NARK54040K,87134,HCL Technologies,NARK54040K,1034686,0,False,,,,,,,,SBI Finance,54355,False,,,0.2707,False,False,0.3551,0.5034,0.7669,False,False,0.2693,False,0,1,5.7423,7.73,9.0639,,False,0.3751,False,Not_Applicable,,8,Clean,False,False,Approved,1497,0,Clean,Gujarati,,False,22870802d8a9
SRS-2023-000009,12-08-2023,FY2022-23,Uttarakhand,Private_Bank,Agricultural,Agricultural_Cultivator,DSA,6,671,1870886,Khatauni,Uttarakhand,600/8A,Ritu Nair,2343758,2419674,1,False,Ritu Nair,677417,FUQPN3845G,XXXX-XXXX-4256,Aadhaar,,,,,,,,,698201,2,False,,,,,,,,,,,,,0.2418,False,False,0.4233,0.5346,0.9231,False,False,0.3967,False,0,2,9.466,2.1778,,1.9068,False,0.2013,False,Passed,False,10,Clean,False,False,Approved,1014,0,Clean,Hindi,,False,00508e1212ee
SRS-2025-000007,20-04-2024,FY2023-24,Tamil Nadu,NBFC,Retail_Salaried,Salaried_MNC,Branch,7,536,2076993,,,,,,,,,Vijay Pillai,721989,DAUPP3494B,XXXX-XXXX-2207,Aadhaar,732406,077083209868388,10-02-2024,710781,TYNV99282D,61820,Godrej Industries,TYNV99282D,692408,2,False,,,,,,,,SBI Finance,38851,False,,,0.6009,False,False,0.2277,0.1621,0.7119,False,False,0.1731,False,0,1,11.9565,2.1046,5.3711,,False,0.3196,False,Not_Applicable,,10,Clean,False,False,Approved,1267,0,Clean,Tamil,,False,37d44773b188
SRS-2025-000008,30-10-2025,FY2023-24,Rajasthan,HFC,MSME,Private_Ltd_Director,Digital_Portal,11,847,39612856,,,,,,,,,Sanjay Choudhury,8800000,OIYPC3818O,XXXX-XXXX-3939,Aadhaar,8800000,228968740889448,20-04-2025,,,,,,8636036,0,False,24620921,08OIYPC3818O8ZE,False,24200000,24200000,8719000,269529415367614602,,,,,,0.4675,True,False,0.4652,0.443,0.1056,True,False,0.2425,True,5,32,63.7053,111.164,,,False,0.2817,False,Passed,False,52,Low_Risk,False,False,Manual_Review,7918,1,GST_Turnover_Manipulation,Hindi,,False,6c2cbe23945b
