application_id,lending_segment,borrower_name,declared_income_annual,itr_declared_income,itr_acknowledgement_no,form_16_gross_salary,form_16_employer_tan,salary_slip_gross_salary_monthly,salary_slip_employer_name,bank_statement_annual_credits,bank_statement_unusual_credits,gst_annual_turnover,gst_registration_number,gst_turnover_inconsistency_detected,nach_mandate_beneficiary_name,nach_mandate_authorized_amount,nach_mandate_alteration_detected,land_record_type,land_record_survey_no,land_record_owner_name,sale_deed_consideration_value,ec_registered_value,ec_liens_count,pdf_metadata_modification_delay_days,compression_anomaly_detected,cloned_signature_detected,font_substitution_detected,physical_coherence_anomaly_detected,ai_generation_score,double_pledge_detected,guarantor_name,guarantor_overcommitment_detected,document_primary_language,is_fraud,fraud_pattern,adverse_action_reason
APP20260014,MSME,Vijay Verma,4816862,4816862,697149966195636,0,None,0,None,4839529,0,6148111,49RXQHO0245ULPY,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.0102,0,Sunita Chatterjee,0,English,0,clean,Application cleared all automated document checks.
APP20260015,MSME,Sai Nair,2270220,2270220,621024804616426,0,None,0,None,2220946,0,3940184,88UFUSM5911OY9V,0,None,0,0,None,None,None,0,0,0,2,0,0,0,0,0.0231,0,Fatima Yadav,0,English,0,clean,Application cleared all automated document checks.
APP20260016,Retail,Kiran Banerjee,1061339,1061339,226756202235126,1046592,SBKO42495W,87216,Tata Consultancy Services,1059665,0,0,None,0,PolyOculus Finance,35886,0,None,None,None,0,0,0,1,0,0,0,0,0.1141,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260017,Housing,Deepak Dutta,1918116,1918116,577842436778995,1918116,XPRC48123O,159843,ICICI Bank,1919175,0,0,None,0,PolyOculus Finance,79921,0,7/12 Extract,910/7B,Deepak Dutta,14771315,14771315,0,3,0,0,0,0,0.1295,0,Diya Reddy,0,English,0,clean,Application cleared all automated document checks.
APP20260018,Agricultural,Vikram Rao,568089,0,None,0,None,0,None,549424,0,0,None,0,None,0,0,Patta,782/1A,Vikram Rao,0,0,0,0,0,0,0,0,0.1194,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260019,MSME,Krishna Chatterjee,2128419,2128419,423697713595939,0,None,0,None,2104414,0,2651154,66CUWPD9734LCXA,0,None,0,0,None,None,None,0,0,0,0,0,0,0,0,0.089,0,Diya Pillai,0,English,0,clean,Application cleared all automated document checks.
APP20260020,Retail,Karan Gowda,990731,990731,792854472880824,984960,PJAW12738W,82080,HDFC Bank Ltd,988172,0,0,None,0,PolyOculus Finance,33832,0,None,None,None,0,0,0,3,0,0,0,0,0.109,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260021,MSME,Sai Rao,2315983,2315983,664702635454737,0,None,0,None,2301492,0,3205259,27ITYRE7257TKDG,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.0784,0,Rajesh Kulkarni,0,English,0,clean,Application cleared all automated document checks.
APP20260022,Agricultural,Meena Mehta,1179447,0,None,0,None,0,None,1166170,0,0,None,0,None,0,0,Patta,576/5A,Meena Mehta,0,0,0,2,0,0,0,0,0.0164,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260023,Housing,Neha Chatterjee,761616,761616,281045618902545,761616,QUJX25450X,63468,Infosys Limited,758424,0,0,None,0,PolyOculus Finance,31734,0,7/12 Extract,226/5,Neha Chatterjee,12494400,12494400,0,3,0,0,0,0,0.0577,0,Ramesh Rao,0,English,0,clean,Application cleared all automated document checks.
APP20260024,MSME,Aarav Deshmukh,4241911,4241911,227746976694569,0,None,0,None,6315831,1,5272041,13TOHDR6954CV60,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.1065,0,Kavitha Reddy,0,English,1,unusual_credits,"Adverse Action Recommended: Circular trading and artificial balance padding detected. Bank statement logs reveal repetitive, round-number credits from related entities."
APP20260025,Agricultural,Sunil Prasad,733336,0,None,0,None,0,None,725230,0,0,None,0,None,0,0,Patta,491/9C,Sunil Prasad,0,0,0,0,0,0,0,0,0.1168,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260026,Retail,Ritu Gupta,834764,834764,683629854339459,824244,ROKE37672R,68687,Wipro Technologies,818682,0,0,None,0,PolyOculus Finance,28474,0,None,None,None,0,0,0,3,0,0,0,0,0.0587,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260027,Retail,Mohammad Sharma,806809,806809,042819619274444,788760,DEPT10783Z,65730,State Bank of India,782514,0,0,None,0,PolyOculus Finance,27292,0,None,None,None,0,0,0,1,0,0,0,0,0.1094,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260028,Housing,Divya Prasad,2004708,2004708,535543165270778,2004708,KRVZ40558O,167059,Infosys Limited,2011942,0,0,None,0,PolyOculus Finance,83529,0,7/12 Extract,25/12A,Divya Prasad,9665981,9665981,0,3,0,0,0,0,0.1311,0,Diya Menon,0,Marathi,0,clean,Application cleared all automated document checks.
APP20260029,Agricultural,Neha Bhalerao,946937,0,None,0,None,0,None,947689,0,0,None,0,None,0,0,7/12 Extract,675/2B,Neha Bhalerao,0,0,0,2,0,0,0,0,0.0574,0,None,0,Marathi,0,clean,Application cleared all automated document checks.
APP20260030,Retail,Meena Verma,1385876,1385876,974068469072315,1376460,OUEC86291O,114705,Godrej Industries,1369782,0,0,None,0,PolyOculus Finance,46882,0,None,None,None,0,0,0,0,0,0,0,0,0.0429,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260031,Agricultural,Pooja Nair,674493,0,None,0,None,0,None,684432,0,0,None,0,None,0,0,7/12 Extract,611/5C,Pooja Nair,0,0,0,1,0,0,0,0,0.0203,0,None,0,Marathi,0,clean,Application cleared all automated document checks.
APP20260032,MSME,Priya Menon,3499115,3499115,559296256706492,0,None,0,None,3479277,0,5473452,36QRSRV6963OBNE,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.0249,0,Kaushik Joshi,0,English,0,clean,Application cleared all automated document checks.
APP20260033,MSME,Amit Mehta,2586125,2586125,828487319198799,0,None,0,None,2609173,0,3670913,70NLRRP8912AW7L,0,None,0,0,None,None,None,0,0,0,2,0,0,0,0,0.0843,0,Swati Rao,0,English,0,clean,Application cleared all automated document checks.
APP20260034,Retail,Deepak Gowda,372535,372535,340814679471404,371316,KYAJ49806R,30943,Godrej Industries,368069,0,0,None,0,PolyOculus Finance,13377,0,None,None,None,0,0,0,3,0,0,0,0,0.0263,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260035,MSME,Mohammad Menon,2079272,2079272,650721507228319,0,None,0,None,2029643,0,2841044,99OUCWD3750IB0S,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.0228,0,Arjun Chatterjee,0,English,0,clean,Application cleared all automated document checks.
APP20260036,Housing,Sunita Prasad,1296924,1296924,907854904464900,1296924,PBHQ53954T,108077,Larsen & Toubro,1290173,0,0,None,0,PolyOculus Finance,54038,0,7/12 Extract,127/11D,Sunita Prasad,13773904,13773904,0,0,0,0,0,0,0.0733,0,Anil Deshmukh,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260037,Retail,Yagyesh Pillai,1450687,1450687,332964004731095,1447572,RKWY49023D,120631,Aditya Birla Group,1449198,0,0,None,0,PolyOculus Finance,49252,0,None,None,None,0,0,0,3,0,0,0,0,0.0658,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260038,Retail,Rajesh Menon,1186964,1186964,122457665666027,1174920,XJED60790Q,97910,Reliance Industries,1172247,0,0,None,0,PolyOculus Finance,40164,0,None,None,None,0,0,0,0,0,0,0,0,0.059,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260039,MSME,Karan Nair,1012671,1012671,817004464253165,0,None,0,None,1031737,0,1620556,03PAHFD2307FETI,0,None,0,0,None,None,None,0,0,0,2,0,0,0,0,0.1188,0,Kiran Pillai,0,English,0,clean,Application cleared all automated document checks.
APP20260040,Housing,Arjun Patil,2046252,2046252,985574103868908,2046252,GPNK33315D,170521,State Bank of India,2052962,0,0,None,0,PolyOculus Finance,85260,0,7/12 Extract,937/6B,Arjun Patil,5253164,5253164,0,25,0,1,0,0,0.0711,0,Rahul Rao,0,English,1,encumbrance_suppression,"Adverse Action Recommended: Encumbrance certificate manipulation. Submitted EC lists 0 active charges, but registry verification shows active mortgages registered against the property."
APP20260041,MSME,Arjun Singh,4065690,4065690,686939344675304,0,None,0,None,4020619,0,5017606,80WWPNM5784ZUGV,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.075,0,Sunita Mehta,0,English,0,clean,Application cleared all automated document checks.
APP20260042,Retail,Reyansh Bhalerao,865272,449169,607956393760633,432636,OKGW96106L,72106,HDFC Bank Ltd,439133,0,0,None,0,PolyOculus Finance,15421,0,None,None,None,0,0,0,2,1,0,1,0,0.1475,0,None,0,Hindi,1,income_inflation,"Adverse Action Recommended: Semantic mismatch detected. Declared annual salary slips project ₹865,272 gross income, but bank statement salary credits annualized show only ₹439,133."
APP20260043,Housing,Kiran Patil,2707992,2707992,799906503937191,2707992,HUNO75686T,225666,Larsen & Toubro,2703046,0,0,None,0,PolyOculus Finance,112833,0,7/12 Extract,195/12D,Kiran Patil,11805140,4722056,0,2,0,0,1,0,0.1238,0,Ramesh Bose,0,Hindi,1,valuation_inflation,"Adverse Action Recommended: Property valuation inflation detected. The consideration amount of ₹11,805,140 stated in the Sale Deed is significantly higher than the registered EC valuation of ₹4,722,056."
APP20260044,MSME,Fatima Yadav,4065880,4065880,229791654775411,0,None,0,None,4095134,0,5216683,26WOCVW2729E3D6,0,None,0,0,None,None,None,0,0,0,2,0,0,0,0,0.1153,0,Fatima Kulkarni,0,English,0,clean,Application cleared all automated document checks.
APP20260045,Retail,Vihaan Patil,440637,440637,230731094874690,428352,FDYP47212U,35696,HCL Technologies,433760,0,0,None,0,Third Party Collector,15278,1,None,None,None,0,0,0,2,0,1,0,0,0.043,0,None,0,Hindi,1,nach_manipulation,Adverse Action Recommended: NACH mandate alteration detected. The beneficiary name stated in the mandate has been altered post-signature.
APP20260046,Agricultural,Sunita Prasad,889908,0,None,0,None,0,None,885673,0,0,None,0,None,0,0,7/12 Extract,449/1D,Sunita Prasad,0,0,0,1,0,0,0,0,0.1106,0,None,0,Marathi,0,clean,Application cleared all automated document checks.
APP20260047,MSME,Sai Khan,4712906,4712906,575080337302615,0,None,0,None,4762085,0,6595764,05VEUMS6807OBH2,0,None,0,0,None,None,None,0,0,0,2,0,0,0,0,0.0195,0,Aditya Joshi,0,English,0,clean,Application cleared all automated document checks.
APP20260048,Retail,Meena Chatterjee,1323742,1323742,280627444931637,1317480,GCLL91213J,109790,HDFC Bank Ltd,1317091,0,0,None,0,PolyOculus Finance,44916,0,None,None,None,0,0,0,2,0,0,0,0,0.0151,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260049,Retail,Vikram Banerjee,1745384,1745384,646706457108641,1733832,GQJY01434C,144486,Aditya Birla Group,1723343,0,0,None,0,PolyOculus Finance,58794,0,None,None,None,0,0,0,0,0,0,0,0,0.1118,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260050,Housing,Sanjay Patel,2169852,2169852,591772669210179,2169852,VZZR75221W,180821,Mahindra & Mahindra,2165556,0,0,None,0,PolyOculus Finance,90410,0,7/12 Extract,530/4,Sanjay Patel,8064832,8064832,0,0,0,0,0,0,0.113,0,Amit Bhalerao,0,English,0,clean,Application cleared all automated document checks.
APP20260051,Retail,Vivaan Kulkarni,1171912,1171912,603975780964638,1167660,UQEZ49011F,97305,Wipro Technologies,1163232,0,0,None,0,PolyOculus Finance,39922,0,None,None,None,0,0,0,2,0,0,0,0,0.0754,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260052,Housing,Sai Reddy,2332788,2332788,266065516939080,2332788,YUGF56085U,194399,HDFC Bank Ltd,2338613,0,0,None,0,PolyOculus Finance,97199,0,7/12 Extract,834/11C,Sai Reddy,6108369,6108369,0,1,0,0,0,0,0.0989,0,Deepak Banerjee,0,English,0,clean,Application cleared all automated document checks.
APP20260053,MSME,Fatima Deshmukh,3153742,3153742,637789135342202,0,None,0,None,3154093,0,5419700,49XVYSE1948PA8S,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.075,0,Sanjay Kumar,0,English,0,clean,Application cleared all automated document checks.
APP20260054,Agricultural,Vihaan Nair,375437,0,None,0,None,0,None,383678,0,0,None,0,None,0,0,7/12 Extract,302/9,Vihaan Nair,0,0,0,3,1,1,0,1,0.0937,0,None,0,Marathi,1,cultivator_name_substitution,Adverse Action Recommended: Cultivator name mismatch. The cultivator name stated in the submitted land record contains edited pixel blocks; registry records list a different landowner.
APP20260055,Housing,Ananya Kulkarni,2393940,2393940,532345866103953,2393940,DPKB07851Q,199495,Wipro Technologies,2394686,0,0,None,0,PolyOculus Finance,99747,0,7/12 Extract,336/3C,Ananya Kulkarni,12285576,12285576,0,0,0,0,0,0,0.0661,0,Swati Bose,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260056,Retail,Shalini Nair,890226,890226,695776049775751,879372,QQVD60910K,73281,Larsen & Toubro,869334,0,0,None,0,PolyOculus Finance,30312,0,None,None,None,0,0,0,3,0,0,0,0,0.1242,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260057,Retail,Sunita Dutta,1481199,1481199,012365319337766,1457364,PEGO29222W,121447,Tech Mahindra,1452752,0,0,None,0,PolyOculus Finance,49578,0,None,None,None,0,0,0,3,0,0,0,0,0.1322,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260058,Housing,Kaushik Patel,1841088,1841088,898227342425961,1841088,QPGR56047D,153424,Godrej Industries,1835592,0,0,None,0,PolyOculus Finance,76712,0,7/12 Extract,997/9A,Kaushik Patel,2086930,2086930,0,3,0,0,0,0,0.1354,0,Diya Gowda,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260059,MSME,Kaushik Joshi,1050450,1050450,627809489087178,0,None,0,None,1038391,0,1813124,05CZHZO4984G3L0,0,None,0,0,None,None,None,0,0,0,2,0,0,0,0,0.1004,0,Vijay Choudhury,0,English,0,clean,Application cleared all automated document checks.
APP20260060,Housing,Kaushik Prasad,2609256,2609256,885061132227937,2609256,AQSB13458W,217438,HCL Technologies,2609446,0,0,None,0,PolyOculus Finance,108719,0,7/12 Extract,130/11B,Kaushik Prasad,13581150,13581150,0,1,0,0,0,0,0.0346,0,Karan Yadav,0,English,0,clean,Application cleared all automated document checks.
APP20260061,MSME,Neha Mehta,3434192,3434192,454562278047050,0,None,0,None,3455973,0,5981445,25EWLRS4840ESQC,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.1147,0,Pooja Naidu,0,English,0,clean,Application cleared all automated document checks.
APP20260062,Agricultural,Ananya Reddy,283714,0,None,0,None,0,None,299179,0,0,None,0,None,0,0,Patta,56/7B,Ananya Reddy,0,0,0,0,0,0,0,0,0.1144,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260063,Agricultural,Neha Verma,935301,0,None,0,None,0,None,940367,0,0,None,0,None,0,0,Patta,794/11C,Neha Verma,0,0,0,2,0,0,0,0,0.0672,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260064,Retail,Priya Gupta,850871,850871,155720026558232,846984,YSCV47802D,70582,Aditya Birla Group,833084,0,0,None,0,PolyOculus Finance,29232,0,None,None,None,0,0,0,1,0,0,0,0,0.1015,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260065,Agricultural,Sanjay Bose,443885,0,None,0,None,0,None,456908,0,0,None,0,None,0,0,Patta,562/4,Sanjay Bose,0,0,0,0,0,0,0,0,0.0663,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260066,MSME,Shalini Joshi,1501755,1501755,954255716503635,0,None,0,None,1543021,0,2177236,13TMWHS8959RTNJ,0,None,0,0,None,None,None,0,0,0,2,0,0,0,0,0.0432,0,Yagyesh Gowda,1,English,1,guarantor_overcommitment,Adverse Action Recommended: Guarantor risk alert. Stated guarantor 'Yagyesh Gowda' is co-committed in 3 other active commercial credit applications exceeding their aggregate net worth.
APP20260067,Housing,Sai Mishra,1786464,1786464,668177548390991,1786464,ZMGP29573R,148872,Godrej Industries,1788236,0,0,None,0,PolyOculus Finance,74436,0,7/12 Extract,277/6D,Sai Mishra,7174467,7174467,0,1,0,0,0,0,0.0172,0,Ritu Banerjee,0,English,0,clean,Application cleared all automated document checks.
APP20260068,Retail,Sandeep Kumar,390336,390336,870557212525937,371904,MSTL73151R,30992,Godrej Industries,358828,0,0,None,0,PolyOculus Finance,13396,0,None,None,None,0,0,0,2,0,0,0,0,0.0538,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260069,Agricultural,Vihaan Dutta,169171,0,None,0,None,0,None,163505,0,0,None,0,None,0,0,Patta,79/12A,Vihaan Dutta,0,0,0,0,0,0,0,0,0.0677,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260070,Housing,Vihaan Yadav,649476,649476,050529086891011,649476,NVGK34592V,54123,Infosys Limited,640514,0,0,None,0,PolyOculus Finance,27061,0,7/12 Extract,425/7C,Vihaan Yadav,3568678,3568678,0,3,0,0,0,0,0.1023,0,Kiran Chatterjee,0,English,0,clean,Application cleared all automated document checks.
APP20260071,MSME,Sai Chatterjee,3078899,3078899,580502884009850,0,None,0,None,3070119,0,3723604,21VVYHO5865M1F9,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.1003,0,Sai Khan,0,English,0,clean,Application cleared all automated document checks.
APP20260072,Housing,Vihaan Patel,839124,839124,379370294394660,839124,QUSC17673D,69927,Infosys Limited,829294,0,0,None,0,PolyOculus Finance,34963,0,7/12 Extract,465/6B,Vihaan Patel,7171869,7171869,0,3,0,0,0,0,0.0425,0,Reyansh Mehta,0,English,0,clean,Application cleared all automated document checks.
APP20260073,Retail,Kiran Mishra,452549,452549,557804775925612,440952,GDEH27397P,36746,Aditya Birla Group,446159,0,0,None,0,PolyOculus Finance,15698,0,None,None,None,0,0,0,3,0,0,0,0,0.0245,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260074,MSME,Deepak Sharma,3486747,3486747,833889139239926,0,None,0,None,3501104,0,6208703,73HUJYF9170XQZP,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.0565,0,Kaushik Pillai,0,English,0,clean,Application cleared all automated document checks.
APP20260075,Retail,Ritu Mehta,2671968,1341034,770944596573856,1335984,CTRJ60963Y,222664,ICICI Bank,1347074,0,0,None,0,PolyOculus Finance,45532,0,None,None,None,0,0,0,2,1,0,1,0,0.0439,0,None,0,Hindi,1,income_inflation,"Adverse Action Recommended: Semantic mismatch detected. Declared annual salary slips project ₹2,671,968 gross income, but bank statement salary credits annualized show only ₹1,347,074."
APP20260076,Housing,Rajesh Khan,1830396,1830396,466194290873375,1830396,JCSL00703D,152533,Godrej Industries,1825781,0,0,None,0,PolyOculus Finance,76266,0,7/12 Extract,259/9A,Rajesh Khan,14423352,14423352,0,1,0,0,0,0,0.0724,0,Kiran Singh,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260077,Retail,Rajesh Bhalerao,614147,614147,637844022775753,593160,FCRM93331L,49430,Tech Mahindra,598389,0,0,None,0,PolyOculus Finance,20772,0,None,None,None,0,0,0,3,0,0,0,0,0.0982,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260078,Housing,Swati Prasad,1585188,1585188,131654131666954,1585188,DILB30189Q,132099,Godrej Industries,1591407,0,0,None,0,PolyOculus Finance,66049,0,7/12 Extract,711/8C,Swati Prasad,8864135,8864135,0,27,0,1,0,0,0.1041,0,Fatima Chatterjee,0,English,1,encumbrance_suppression,"Adverse Action Recommended: Encumbrance certificate manipulation. Submitted EC lists 0 active charges, but registry verification shows active mortgages registered against the property."
APP20260079,Housing,Aditya Reddy,1129128,1129128,757455259577424,1129128,TQGW02808D,94094,HCL Technologies,1126892,0,0,None,0,PolyOculus Finance,47047,0,7/12 Extract,840/12D,Aditya Reddy,5521171,5521171,0,1,0,0,0,0,0.0853,0,Vikram Menon,0,Marathi,0,clean,Application cleared all automated document checks.
APP20260080,Retail,Ramesh Yadav,1586341,1586341,855519259598174,1579560,BHRS11328M,131630,Tech Mahindra,1569218,0,0,None,0,PolyOculus Finance,53652,0,None,None,None,0,0,0,1,0,0,0,0,0.1199,0,None,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260081,Retail,Fatima Gupta,1488452,1488452,684458809668739,1479336,VMIH51878Y,123278,Tata Consultancy Services,1465841,0,0,None,0,PolyOculus Finance,50311,0,None,None,None,0,0,0,0,0,0,0,0,0.0664,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260082,Retail,Vivaan Patel,315074,315074,261619262391336,301056,GRSA41260W,25088,ICICI Bank,312831,0,0,None,0,PolyOculus Finance,11035,0,None,None,None,0,0,0,1,0,0,0,0,0.0718,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260083,Retail,Krishna Chatterjee,464441,464441,813238866056132,440496,TXQL28117L,36708,Larsen & Toubro,435801,0,0,None,0,PolyOculus Finance,15683,0,None,None,None,0,0,0,0,0,0,0,0,0.0421,0,None,0,English,0,clean,Application cleared all automated document checks.
APP20260084,Agricultural,Sanjay Mishra,580850,0,None,0,None,0,None,594781,0,0,None,0,None,0,0,Patta,878/11B,Sanjay Mishra,0,0,0,2,0,0,0,0,0.1191,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260085,MSME,Ananya Nair,2307738,2307738,414559991853679,0,None,0,None,2267305,0,2792394,02BBUNQ5470RTFD,0,None,0,0,None,None,None,0,0,0,0,0,0,0,0,0.1197,0,Sai Khan,0,English,0,clean,Application cleared all automated document checks.
APP20260086,MSME,Meena Joshi,854613,854613,349229160661010,0,None,0,None,869678,0,1514211,57SEDUG8708ISJ9,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.0921,0,Arjun Chatterjee,0,English,0,clean,Application cleared all automated document checks.
APP20260087,Housing,Vihaan Chatterjee,1402524,1402524,786170800391908,1402524,SRFG93851V,116877,Tata Consultancy Services,1398400,0,0,None,0,PolyOculus Finance,58438,0,7/12 Extract,833/9,Vihaan Chatterjee,5744423,5744423,0,1,0,0,0,0,0.0615,0,Ananya Gupta,0,Hindi,0,clean,Application cleared all automated document checks.
APP20260088,Housing,Sandeep Gupta,1231248,1231248,277239977571905,1231248,QSAI73732H,102604,Larsen & Toubro,1237370,0,0,None,0,PolyOculus Finance,51302,0,7/12 Extract,155/12B,Sandeep Gupta,3004872,3004872,0,3,0,0,0,0,0.0111,0,Sai Verma,0,English,0,clean,Application cleared all automated document checks.
